	new_el	N_Z	N	Z	A	el	o	ME_keV	ME_unc_keV	BE_keV	BE_unc_keV	B	Q_keV	Q_unc_keV	mass_micro_u	mass_unc_micro_u	extrapol	mass_prec
869		2	42	40	82	Zr	x	-63614.063	1.584	8465.4666	0.0193	B-	-11804.0	300.0	81931707.497	1.7	False	2.8730429426022797
870		0	41	41	82	Nb	x	-51810.0	300.0	8312.0	4.0	B-	-11440.0	500.0	81944380.0	322.0	True	
871		-2	40	42	82	Mo	x	-40370.0	400.0	8163.0	5.0	B-			81956661.0	429.0	True	
872	0.0	25	54	29	83	Cu	x	-20390.0	500.0	8044.0	6.0	B-	15900.0	583.0	82978110.0	537.0	True	
873		23	53	30	83	Zn	x	-36290.0	300.0	8226.0	4.0	B-	12967.0	300.0	82961041.0	322.0	True	
874		21	52	31	83	Ga	x	-49257.129	2.612	8372.5756	0.0315	B-	11719.3136	3.5592	82947120.3	2.804	False	2.845064423470589
875		19	51	32	83	Ge	x	-60976.442	2.427	8504.3462	0.0292	B-	8692.8893	3.6979	82934539.1	2.604	False	2.8493479747712174
876		17	50	33	83	As	x	-69669.331	2.799	8599.654	0.0337	B-	5671.2117	4.129	82925206.9	3.004	False	2.8410358975902263
877		15	49	34	83	Se	-n	-75340.543	3.036	8658.556	0.0366	B-	3673.178	4.8392	82919118.604	3.259	False	2.8362649077751487
878		13	48	35	83	Br		-79013.721	3.795	8693.3852	0.0457	B-	976.9222	3.7947	82915175.285	4.073	False	2.823100548141268
879		11	47	36	83	Kr		-79990.643	0.009	8695.7295	0.0003	B-	-920.0039	2.3288	82914126.516	0.009	False	3.1330497834120035
880		9	46	37	83	Rb		-79070.639	2.329	8675.2193	0.0281	B-	-2273.0239	6.4245	82915114.181	2.5	False	2.8516908255591034
881		7	45	38	83	Sr		-76797.616	6.834	8638.4076	0.0823	B-	-4591.9435	19.8444	82917554.372	7.336	False	2.7875120395695734
882		5	44	39	83	Y	x	-72205.672	18.631	8573.6571	0.2245	B-	-6294.0125	19.7074	82922484.026	20.0	False	2.723771604885162
883		3	43	40	83	Zr	x	-65911.659	6.43	8488.3997	0.0775	B-	-8298.7493	162.2075	82929240.926	6.902	False	2.791268602979622
884		1	42	41	83	Nb	x	-57612.91	162.08	8378.9889	1.9528	B-	-11273.0	432.0	82938150.0	174.0	False	2.570667623741301
885		-1	41	42	83	Mo	x	-46340.0	401.0	8234.0	5.0	B-	-15020.0	641.0	82950252.0	430.0	True	
886		-3	40	43	83	Tc	x	-31320.0	500.0	8043.0	6.0	B-			82966377.0	537.0	True	
887	0.0	26	55	29	84	Cu	x	-13720.0	500.0	7965.0	6.0	B-	18110.0	640.0	83985271.0	537.0	True	
888		24	54	30	84	Zn	x	-31830.0	400.0	8171.0	5.0	B-	12264.0	401.0	83965829.0	429.0	True	
889		22	53	31	84	Ga	x	-44094.136	29.808	8307.525	0.3549	B-	14054.2989	29.976	83952663.0	32.0	False	2.6932767936947224
890		20	52	32	84	Ge	x	-58148.435	3.171	8465.5244	0.0377	B-	7705.1329	4.4789	83937575.09	3.403	False	2.8344435594615915
891		18	51	33	84	As	x	-65853.568	3.171	8547.9385	0.0377	B-	10094.1624	3.7219	83929303.29	3.403	False	2.834437769401554
892		16	50	34	84	Se		-75947.731	1.961	8658.7935	0.0233	B-	1835.3638	25.7652	83918466.761	2.105	False	2.8622603525613157
893		14	49	35	84	Br		-77783.094	25.73	8671.3294	0.3063	B-	4656.251	25.73	83916496.417	27.622	False	2.703152909953139
894		12	48	36	84	Kr		-82439.34527	0.00382	8717.4473	0.0003	B-	-2680.3708	2.194	83911497.72708	0.0041	False	3.1672473799310215
895		10	47	37	84	Rb		-79758.975	2.194	8676.2244	0.0261	B-	890.6058	2.3356	83914375.223	2.355	False	2.855824409627992
896		8	46	38	84	Sr		-80649.58	1.243	8677.5132	0.0148	B-	-6755.1411	4.4114	83913419.118	1.334	False	2.887986368057228
897		6	45	39	84	Y		-73894.439	4.299	8587.7812	0.0512	B-	-2472.7471	6.9767	83920671.06	4.615	False	2.816370571095683
898		4	44	40	84	Zr	x	-71421.692	5.499	8549.0301	0.0655	B-	-10227.8497	5.5133	83923325.663	5.903	False	2.8015377180760606
899		2	43	41	84	Nb	x	-61193.842	0.401	8417.9563	0.0048	B-	-7024.0	298.0	83934305.711	0.43	False	2.949139233866158
900		0	42	42	84	Mo	x	-54170.0	298.0	8325.0	4.0	B-	-16470.0	499.0	83941846.0	320.0	True	
901		-2	41	43	84	Tc	x	-37700.0	400.0	8120.0	5.0	B-			83959527.0	429.0	True	
902	0.0	25	55	30	85	Zn	x	-25100.0	500.0	8090.0	6.0	B-	14644.0	502.0	84973054.0	537.0	True	
903		23	54	31	85	Ga	x	-39744.059	37.26	8253.5687	0.4384	B-	13379.3679	37.4459	84957333.0	40.0	False	2.678880901507764
904		21	53	32	85	Ge	x	-53123.427	3.729	8401.7689	0.0439	B-	10065.7253	4.8303	84942969.658	4.003	False	2.8255633671061475
905		19	52	33	85	As	x	-63189.152	3.078	8510.9851	0.0362	B-	9224.4929	4.0313	84932163.658	3.304	False	2.836867223181653
906		17	51	34	85	Se	+3p	-72413.645	2.613	8610.3045	0.0307	B-	6161.8335	4.0313	84922260.758	2.804	False	2.846431471802167
907		15	50	35	85	Br	+n2p	-78575.478	3.078	8673.5926	0.0362	B-	2904.8622	3.6705	84915645.758	3.304	False	2.836855823530169
908		13	49	36	85	Kr	+	-81480.341	2.0	8698.5633	0.0235	B-	687.0	2.0	84912527.26	2.147	False	2.8618042694107375
909		11	48	37	85	Rb		-82167.34065	0.005	8697.4416	0.0003	B-	-1064.051	2.8132	84911789.73604	0.00537	False	3.1563215047066104
910		9	47	38	85	Sr		-81103.29	2.813	8675.7193	0.0331	B-	-3261.1584	19.1729	84912932.041	3.02	False	2.8421077961253385
911		7	46	39	85	Y	x	-77842.131	18.965	8628.1486	0.2231	B-	-4666.9352	20.0257	84916433.039	20.36	False	2.724160136341643
912		5	45	40	85	Zr	x	-73175.196	6.43	8564.0394	0.0756	B-	-6895.512	7.625	84921443.199	6.902	False	2.7927237676114243
913		3	44	41	85	Nb	x	-66279.684	4.099	8473.7117	0.0482	B-	-8769.9238	16.3572	84928845.836	4.4	False	2.81993259193107
914		1	43	42	85	Mo	x	-57509.76	15.835	8361.332	0.1863	B-	-11660.0	400.0	84938260.736	17.0	False	2.73593912198415
915		-1	42	43	85	Tc	x	-45850.0	400.0	8215.0	5.0	B-	-15220.0	640.0	84950778.0	429.0	True	
916		-3	41	44	85	Ru	x	-30630.0	500.0	8027.0	6.0	B-			84967117.0	537.0	True	
917	0.0	26	56	30	86	Zn	x	-20062.0	500.0	8032.0	6.0	B-	13699.0	640.0	85978463.0	537.0	True	
918		24	55	31	86	Ga	x	-33760.0	400.0	8182.0	5.0	B-	15640.0	593.0	85963757.0	429.0	True	
919		22	54	32	86	Ge	x	-49399.927	437.802	8354.63	5.0907	B-	9562.2229	437.8158	85946967.0	470.0	False	2.494568845611838
920		20	53	33	86	As	x	-58962.15	3.45	8456.7215	0.0401	B-	11541.0256	4.2666	85936701.532	3.703	False	2.830856348086197
921		18	52	34	86	Se	x	-70503.175	2.52	8581.8224	0.0293	B-	5129.086	3.9717	85924311.732	2.705	False	2.8491952710525394
922		16	51	35	86	Br	+pp	-75632.261	3.078	8632.3659	0.0358	B-	7633.4147	3.0779	85918805.432	3.304	False	2.837543920015189
923		14	50	36	86	Kr		-83265.67593	0.00372	8712.0295	0.0003	B-	-518.6734	0.2	85910610.62468	0.00399	False	3.1693822552837494
924		12	49	37	86	Rb	-n	-82747.003	0.2	8696.9014	0.0023	B-	1776.0972	0.2001	85911167.443	0.214	False	2.9862173321100074
925		10	48	38	86	Sr		-84523.09977	0.00524	8708.4566	0.0003	B-	-5240.0	14.1421	85909260.72473	0.00563	False	3.154804310449618
926		8	47	39	86	Y	-	-79283.1	14.142	8638.4293	0.1644	B-	-1314.0763	14.5847	85914886.095	15.182	False	2.7439807095133384
927		6	46	40	86	Zr		-77969.023	3.566	8614.0523	0.0415	B-	-8834.9627	6.5521	85916296.814	3.827	False	2.828898334895265
928		4	45	41	86	Nb	x	-69134.061	5.499	8502.2231	0.0639	B-	-5023.1337	6.2316	85925781.536	5.903	False	2.802968411973133
929		2	44	42	86	Mo	x	-64110.927	2.932	8434.7175	0.0341	B-	-12541.0	300.0	85931174.092	3.147	False	2.8403996730441947
930		0	43	43	86	Tc	x	-51570.0	300.0	8280.0	3.0	B-	-11800.0	500.0	85944637.0	322.0	True	
931		-2	42	44	86	Ru	x	-39770.0	400.0	8133.0	5.0	B-			85957305.0	429.0	True	
932	0.0	25	56	31	87	Ga	x	-28870.0	500.0	8124.0	6.0	B-	14720.0	583.0	86969007.0	537.0	True	
933		23	55	32	87	Ge	x	-43590.0	300.0	8285.0	3.0	B-	12028.0	300.0	86953204.0	322.0	True	
934		21	54	33	87	As	x	-55617.914	2.985	8413.8521	0.0343	B-	10808.2192	3.726	86940291.716	3.204	False	2.840033101830026
935		19	53	34	87	Se	x	-66426.133	2.241	8529.092	0.0258	B-	7465.5526	3.8766	86928688.616	2.405	False	2.856645407300996
936		17	52	35	87	Br	2p-n	-73891.685	3.171	8605.9105	0.0364	B-	6817.8455	3.1805	86920674.016	3.404	False	2.836475972189205
937		15	51	36	87	Kr	-n	-80709.531	0.246	8675.284	0.0028	B-	3888.2706	0.2463	86913354.759	0.264	False	2.9761532713799435
938		13	50	37	87	Rb		-84597.802	0.006	8710.9843	0.0003	B-	282.2749	0.0063	86909180.529	0.006	False	3.1525808837987643
939		11	49	38	87	Sr		-84880.07643	0.00513	8705.2363	0.0003	B-	-1861.6894	1.1278	86908877.49454	0.0055	False	3.15629284872451
940		9	48	39	87	Y	-	-83018.387	1.128	8674.8451	0.013	B-	-3671.2405	4.2962	86910876.1	1.21	False	2.895346771926705
941		7	47	40	87	Zr		-79347.147	4.146	8623.6545	0.0477	B-	-5472.6536	7.9633	86914817.338	4.45	False	2.820636646120655
942		5	46	41	87	Nb	x	-73874.493	6.802	8551.7579	0.0782	B-	-6989.6757	7.3781	86920692.473	7.302	False	2.7906961878791483
943		3	45	42	87	Mo		-66884.817	2.857	8462.4243	0.0328	B-	-9194.7656	5.0729	86928196.198	3.067	False	2.842574865582149
944		1	44	43	87	Tc	x	-57690.052	4.192	8347.7449	0.0482	B-	-11960.0	400.0	86938067.185	4.5	False	2.81998679616922
945		-1	43	44	87	Ru	x	-45730.0	400.0	8201.0	5.0	B-			86950907.0	429.0	True	
946	0.0	26	57	31	88	Ga	x	-22390.0	500.0	8050.0	6.0	B-	17129.0	640.0	87975963.0	537.0	True	
947		24	56	32	88	Ge	x	-39520.0	400.0	8236.0	5.0	B-	10930.0	447.0	87957574.0	429.0	True	
948		22	55	33	88	As	x	-50450.0	200.0	8351.0	2.0	B-	13434.0	200.0	87945840.0	215.0	True	
949		20	54	34	88	Se	x	-63884.203	3.357	8495.0045	0.0382	B-	6831.764	4.6125	87931417.49	3.604	False	2.833802781018426
950		18	53	35	88	Br	++	-70715.967	3.171	8563.7479	0.036	B-	8975.3282	4.1059	87924083.29	3.404	False	2.8371487138215046
951		16	52	36	88	Kr	x	-79691.295	2.608	8656.8499	0.0296	B-	2917.709	2.613	87914447.879	2.8	False	2.848522343352771
952		14	51	37	88	Rb		-82609.004	0.159	8681.1154	0.0018	B-	5312.6243	0.159	87911315.59	0.17	False	2.9989169933879665
953		12	50	38	88	Sr		-87921.62876	0.00561	8732.5958	0.0003	B-	-3622.6	1.5	87905612.253	0.006	False	3.1530680193204246
954		10	49	39	88	Y	-	-84299.029	1.5	8682.5396	0.017	B-	-670.1549	5.6076	87909501.274	1.61	False	2.880073595021376
955		8	48	40	88	Zr		-83628.874	5.403	8666.0339	0.0614	B-	-7457.3187	57.8921	87910220.715	5.8	False	2.8054169746649458
956		6	47	41	88	Nb		-76171.555	57.808	8572.4013	0.6569	B-	-3485.0021	57.9345	87918226.476	62.059	False	2.6506916837406065
957		4	46	42	88	Mo	x	-72686.553	3.819	8523.9087	0.0434	B-	-11016.2515	5.6021	87921967.779	4.1	False	2.826187146010997
958		2	45	43	88	Tc	x	-61670.301	4.099	8389.8338	0.0466	B-	-7331.0	300.0	87933794.211	4.4	False	2.8220031087953426
959		0	44	44	88	Ru	x	-54340.0	300.0	8298.0	3.0	B-	-17479.0	500.0	87941664.0	322.0	True	
960		-2	43	45	88	Rh	x	-36860.0	400.0	8090.0	5.0	B-			87960429.0	429.0	True	
961	0.0	25	57	32	89	Ge	x	-33040.0	400.0	8161.0	4.0	B-	13490.0	500.0	88964530.0	429.0	True	
962		23	56	33	89	As	x	-46530.0	300.0	8304.0	3.0	B-	12462.0	300.0	88950048.0	322.0	True	
963		21	55	34	89	Se	x	-58992.398	3.729	8435.2799	0.0419	B-	9281.873	4.951	88936669.058	4.003	False	2.8282830341913017
964		19	54	35	89	Br	x	-68274.271	3.264	8530.7802	0.0367	B-	8261.5231	3.9045	88926704.558	3.504	False	2.8361160606851477
965		17	53	36	89	Kr	x	-76535.795	2.142	8614.8158	0.0241	B-	5176.6042	5.8342	88917835.449	2.3	False	2.8605031080226095
966		15	52	37	89	Rb		-81712.399	5.427	8664.1895	0.061	B-	4496.6278	5.4265	88912278.136	5.825	False	2.8058422562777823
967		13	51	38	89	Sr		-86209.026	0.092	8705.923	0.0011	B-	1502.1757	0.351	88907450.808	0.098	False	3.0265472916878537
968		11	50	39	89	Y		-87711.202	0.339	8714.011	0.0038	B-	-2833.2285	2.7652	88905838.156	0.363	False	2.9609565889401326
969		9	49	40	89	Zr		-84877.974	2.78	8673.3865	0.0312	B-	-4252.2191	23.7199	88908879.751	2.983	False	2.8455018289098812
970		7	48	41	89	Nb		-80625.755	23.63	8616.8184	0.2655	B-	-5610.8105	23.9513	88913444.696	25.367	False	2.712687751440318
971		5	47	42	89	Mo	x	-75014.944	3.912	8544.9851	0.044	B-	-7620.0875	5.4673	88919468.149	4.2	False	2.8254276517362693
972		3	46	43	89	Tc	x	-67394.857	3.819	8450.5758	0.0429	B-	-9025.4327	24.5181	88927648.649	4.1	False	2.826860660591018
973		1	45	44	89	Ru	x	-58369.424	24.219	8340.376	0.2721	B-	-12719.0	361.0	88937337.849	26.0	False	2.7110687123159276
974		-1	44	45	89	Rh	-p	-45651.0	361.0	8189.0	4.0	B-			88950992.0	387.0	True	
975	0.0	26	58	32	90	Ge	x	-28470.0	500.0	8109.0	6.0	B-	12520.0	640.0	89969436.0	537.0	True	
976		24	57	33	90	As	x	-40990.0	400.0	8240.0	4.0	B-	14810.0	518.0	89955995.0	429.0	True	
977		22	56	34	90	Se	x	-55800.223	329.749	8395.7672	3.6639	B-	8200.0834	329.766	89940096.0	354.0	False	2.5213476612848975
978		20	55	35	90	Br	x	-64000.306	3.357	8478.1865	0.0373	B-	10958.9533	3.8396	89931292.848	3.604	False	2.835123999015526
979		18	54	36	90	Kr	x	-74959.259	1.863	8591.2599	0.0207	B-	4406.3133	6.7158	89919527.929	2.0	False	2.869107178240925
980		16	53	37	90	Rb		-79365.573	6.452	8631.5262	0.0717	B-	6585.3721	6.4806	89914797.557	6.926	False	2.7960055604067566
981		14	52	38	90	Sr		-85950.945	1.449	8696.0043	0.0161	B-	545.9674	1.406	89907727.87	1.555	False	2.8832810621617457
982		12	51	39	90	Y		-86496.912	0.354	8693.3778	0.0039	B-	2275.635	0.3726	89907141.749	0.379	False	2.9593020280055087
983		10	50	40	90	Zr		-88772.547	0.118	8709.9699	0.0013	B-	-6111.0165	3.3163	89904698.755	0.126	False	3.0148353491900433
984		8	49	41	90	Nb		-82661.531	3.317	8633.377	0.0369	B-	-2489.0165	3.3163	89911259.201	3.561	False	2.835815386904252
985		6	48	42	90	Mo		-80172.514	3.463	8597.0285	0.0385	B-	-9447.8181	3.611	89913931.27	3.717	False	2.8332984322121297
986		4	47	43	90	Tc	x	-70724.696	1.025	8483.36	0.0114	B-	-5840.8951	3.8685	89924073.919	1.1	False	2.902474120713954
987		2	46	44	90	Ru		-64883.801	3.73	8409.7684	0.0414	B-	-13250.0	200.0	89930344.378	4.004	False	2.8289248743969235
988		0	45	45	90	Rh	-	-51634.0	200.0	8254.0	2.0	B-	-11924.0	447.0	89944569.0	215.0	True	
989		-2	44	46	90	Pd	x	-39710.0	400.0	8113.0	4.0	B-			89957370.0	429.0	True	
990	0.0	25	58	33	91	As	x	-36500.0	400.0	8189.0	4.0	B-	14080.0	589.0	90960816.0	429.0	True	
991		23	57	34	91	Se	x	-50580.13	433.145	8334.8382	4.7598	B-	10527.1716	433.1593	90945700.0	465.0	False	2.5001019293349644
992		21	56	35	91	Br	-n2p	-61107.301	3.543	8441.9242	0.0389	B-	9866.6724	4.1898	90934398.617	3.804	False	2.8326011429058
993		19	55	36	91	Kr	x	-70973.974	2.236	8541.7519	0.0246	B-	6771.0748	8.1153	90923806.309	2.4	False	2.859343298102734
994		17	54	37	91	Rb		-77745.049	7.801	8607.5621	0.0857	B-	5906.901	8.8732	90916537.261	8.375	False	2.785023673824861
995		15	53	38	91	Sr		-83651.95	5.453	8663.8759	0.0599	B-	2699.3714	5.2468	90910195.942	5.853	False	2.8068952392073765
996		13	52	39	91	Y		-86351.321	1.843	8684.9421	0.0203	B-	1544.271	1.8403	90907298.048	1.978	False	2.8703541020089207
997		11	51	40	91	Zr		-87895.592	0.095	8693.3149	0.0011	B-	-1257.5644	2.9243	90905640.205	0.101	False	3.0261628979696473
998		9	50	41	91	Nb		-86638.028	2.926	8670.8983	0.0322	B-	-4429.1934	6.7439	90906990.256	3.14	False	2.8438113775553364
999		7	49	42	91	Mo		-82208.834	6.238	8613.6286	0.0686	B-	-6222.1768	6.6706	90911745.19	6.696	False	2.798736947328203
1000		5	48	43	91	Tc		-75986.657	2.363	8536.6558	0.026	B-	-7746.8246	3.2422	90918424.972	2.536	False	2.8561762088117546
1001		3	47	44	91	Ru		-68239.833	2.221	8442.9287	0.0244	B-	-9670.0	298.0	90926741.53	2.384	False	2.8597283955939674
1002		1	46	45	91	Rh	x	-58570.0	298.0	8328.0	3.0	B-	-12400.0	300.0	90937123.0	320.0	True	
1003		-1	45	46	91	Pd	-	-46170.0	423.0	8183.0	5.0	B-			90950435.0	454.0	True	
1004	0.0	26	59	33	92	As	x	-30380.0	500.0	8121.0	5.0	B-	16344.0	640.0	91967386.0	537.0	True	
1005		24	58	34	92	Se	x	-46724.0	400.0	8290.0	4.0	B-	9509.0	400.0	91949840.0	429.0	True	
1006		22	57	35	92	Br	x	-56232.812	6.709	8384.9123	0.0729	B-	12536.5161	7.2322	91939631.595	7.202	False	2.7949789287710023
1007		20	56	36	92	Kr	x	-68769.329	2.701	8512.675	0.0294	B-	6003.121	6.6924	91926173.092	2.9	False	2.8490742805301585
1008		18	55	37	92	Rb		-74772.45	6.123	8569.4225	0.0666	B-	8094.9212	6.4187	91919728.477	6.573	False	2.800535539542696
1009		16	54	38	92	Sr		-82867.371	3.423	8648.907	0.0372	B-	1949.1237	9.3841	91911038.222	3.675	False	2.835257051831371
1010		14	53	39	92	Y		-84816.494	9.127	8661.5894	0.0992	B-	3642.5294	9.1271	91908945.752	9.798	False	2.7759661773126054
1011		12	52	40	92	Zr		-88459.024	0.094	8692.6783	0.0011	B-	-2005.7335	1.7823	91905035.336	0.101	False	3.02669306048928
1012		10	51	41	92	Nb		-86453.29	1.784	8662.3731	0.0194	B-	355.2968	1.7911	91907188.58	1.915	False	2.8728057179652247
1013		8	50	42	92	Mo		-86808.587	0.157	8657.7312	0.0017	B-	-7882.8841	3.1063	91906807.153	0.168	False	3.0017181700486484
1014		6	49	43	92	Tc		-78925.703	3.102	8563.544	0.0337	B-	-4624.4922	4.1246	91915269.777	3.33	False	2.841030091525766
1015		4	48	44	92	Ru		-74301.211	2.718	8504.774	0.0295	B-	-11302.1155	5.1531	91920234.373	2.917	False	2.8487320709601405
1016		2	47	45	92	Rh	x	-62999.095	4.378	8373.4211	0.0476	B-	-8220.0	345.0	91932367.692	4.7	False	2.8207239828502173
1017		0	46	46	92	Pd	-	-54779.095	345.028	8275.5695	3.7503	B-	-17249.0	528.0	91941192.225	370.402	False	2.5194747947614364
1018		-2	45	47	92	Ag	x	-37530.0	400.0	8080.0	4.0	B-			91959710.0	429.0	True	
1019	0.0	25	59	34	93	Se	x	-40860.0	400.0	8225.0	4.0	B-	12030.0	588.0	92956135.0	429.0	True	
1020		23	58	35	93	Br	x	-52890.235	430.816	8345.5986	4.6324	B-	11245.7673	430.8234	92943220.0	462.5	False	2.502325127622898
1021		21	57	36	93	Kr	x	-64136.002	2.515	8458.1085	0.027	B-	8483.8977	8.2243	92931147.172	2.7	False	2.85382980681826
1022		19	56	37	93	Rb		-72619.9	7.83	8540.9209	0.0842	B-	7465.9434	8.8761	92922039.334	8.406	False	2.786141817480232
1023		17	55	38	93	Sr		-80085.844	7.554	8612.7875	0.0812	B-	4141.3118	11.6972	92914024.314	8.109	False	2.7883519889240462
1024		15	54	39	93	Y		-84227.155	10.488	8648.9054	0.1128	B-	2894.8723	10.483	92909578.434	11.259	False	2.7679510783761456
1025		13	53	40	93	Zr		-87122.028	0.456	8671.6207	0.0049	B-	90.8123	1.4838	92906470.661	0.489	False	2.9477228782501204
1026		11	52	41	93	Nb		-87212.84	1.49	8664.1849	0.016	B-	-405.7609	1.5012	92906373.17	1.599	False	2.883555489277264
1027		9	51	42	93	Mo	-n	-86807.079	0.181	8651.4095	0.002	B-	-3200.9629	1.004	92906808.772	0.193	False	2.9953408260777112
1028		7	50	43	93	Tc	-p	-83606.116	1.012	8608.5782	0.0109	B-	-6389.3929	2.2995	92910245.147	1.086	False	2.9049671285834653
1029		5	49	44	93	Ru		-77216.723	2.065	8531.4627	0.0222	B-	-8204.9136	3.3425	92917104.442	2.216	False	2.865140244459491
1030		3	48	45	93	Rh		-69011.81	2.629	8434.8255	0.0283	B-	-10030.0	370.0	92925912.778	2.821	False	2.851297174699325
1031		1	47	46	93	Pd	-	-58981.81	370.009	8318.5637	3.9786	B-	-12582.0	545.0	92936680.426	397.221	False	2.514702977437212
1032		-1	46	47	93	Ag	x	-46400.0	401.0	8175.0	4.0	B-			92950188.0	430.0	True	
1033	0.0	26	60	34	94	Se	x	-36803.0	500.0	8180.0	5.0	B-	10846.0	539.0	93960490.0	537.0	True	
1034		24	59	35	94	Br	x	-47650.0	200.0	8287.0	2.0	B-	13698.0	201.0	93948846.0	215.0	True	
1035		22	58	36	94	Kr	x	-61347.78	12.109	8424.3318	0.1288	B-	7215.0114	12.2782	93934140.452	13.0	False	2.759576624882244
1036		20	57	37	94	Rb		-68562.791	2.029	8492.7644	0.0216	B-	10282.9297	2.623	93926394.819	2.177	False	2.8667661139438145
1037		18	56	38	94	Sr		-78845.721	1.663	8593.8344	0.0177	B-	3505.7517	6.422	93915355.641	1.785	False	2.877989077271949
1038		16	55	39	94	Y		-82351.473	6.38	8622.8068	0.0679	B-	4917.8589	6.3799	93911592.062	6.849	False	2.799337860893655
1039		14	54	40	94	Zr		-87269.332	0.164	8666.8016	0.0018	B-	-900.2684	1.5	93906312.523	0.175	False	3.0007584945654555
1040		12	53	41	94	Nb		-86369.063	1.491	8648.9014	0.0159	B-	2045.0163	1.4937	93907279.001	1.6	False	2.8841197453189227
1041		10	52	42	94	Mo		-88414.079	0.141	8662.3341	0.0015	B-	-4255.7476	4.0687	93905083.586	0.151	False	3.008069383642329
1042		8	51	43	94	Tc	-	-84158.332	4.071	8608.7373	0.0433	B-	-1574.7296	5.1433	93909652.319	4.37	False	2.826311979825074
1043		6	50	44	94	Ru		-82583.602	3.143	8583.662	0.0334	B-	-9675.9789	4.615	93911342.86	3.374	False	2.8415177521050072
1044		4	49	45	94	Rh		-72907.623	3.379	8472.4033	0.0359	B-	-6805.3428	5.4588	93921730.45	3.627	False	2.83729713978184
1045		2	48	46	94	Pd	x	-66102.281	4.287	8391.6832	0.0456	B-	-13700.0	400.0	93929036.286	4.602	False	2.823255643863648
1046		0	47	47	94	Ag	-	-52402.0	400.0	8238.0	4.0	B-	-11962.0	640.0	93943744.0	429.0	True	
1047		-2	46	48	94	Cd	x	-40440.0	500.0	8102.0	5.0	B-			93956586.0	537.0	True	
1048	0.0	27	61	34	95	Se	x	-30460.0	500.0	8112.0	5.0	B-	13390.0	583.0	94967300.0	537.0	True	
1049		25	60	35	95	Br	x	-43850.0	300.0	8245.0	3.0	B-	12309.0	301.0	94952925.0	322.0	True	
1050		23	59	36	95	Kr	x	-56158.92	18.63	8365.9963	0.1961	B-	9731.3868	27.5124	94939710.922	20.0	False	2.7326140478533123
1051		21	58	37	95	Rb		-65890.307	20.245	8460.1967	0.2131	B-	9226.9772	20.2036	94929263.849	21.733	False	2.7271866417369894
1052		19	57	38	95	Sr		-75117.284	5.81	8549.0875	0.0612	B-	6090.6528	7.2395	94919358.282	6.237	False	2.805663117351233
1053		17	56	39	95	Y		-81207.937	6.779	8604.9644	0.0714	B-	4452.0031	6.7718	94912819.697	7.277	False	2.7962900297146143
1054		15	55	40	95	Zr		-85659.94	0.869	8643.5924	0.0092	B-	1126.3312	0.9854	94908040.276	0.933	False	2.914401227175559
1055		13	54	41	95	Nb		-86786.272	0.508	8647.2133	0.0054	B-	925.6009	0.4938	94906831.11	0.545	False	2.9431421242714357
1056		11	53	42	95	Mo		-87711.872	0.123	8648.7212	0.0013	B-	-1690.5175	5.0782	94905837.436	0.132	False	3.015208824630735
1057		9	52	43	95	Tc		-86021.355	5.08	8622.6911	0.0535	B-	-2563.5961	10.531	94907652.281	5.453	False	2.8137455994560185
1058		7	51	44	95	Ru		-83457.759	9.502	8587.4706	0.1	B-	-5117.1423	10.2656	94910404.415	10.2	False	2.7754630980634736
1059		5	50	45	95	Rh		-78340.616	3.886	8525.3707	0.0409	B-	-8374.7035	4.9281	94915897.893	4.171	False	2.8296981115015987
1060		3	49	46	95	Pd	x	-69965.913	3.031	8428.9807	0.0319	B-	-10060.0	400.0	94924888.506	3.253	False	2.84427074051401
1061		1	48	47	95	Ag	-	-59906.0	400.0	8315.0	4.0	B-	-12850.0	400.0	94935688.0	429.0	True	
1062		-1	47	48	95	Cd	-	-47056.0	566.0	8171.0	6.0	B-			94949483.0	607.0	True	
1063	0.0	26	61	35	96	Br	x	-38210.0	300.0	8184.0	3.0	B-	14872.0	301.0	95958980.0	322.0	True	
1064		24	60	36	96	Kr		-53081.682	19.277	8330.8721	0.2008	B-	8272.6693	19.5669	95943014.473	20.695	False	2.7310746164390705
1065		22	59	37	96	Rb		-61354.351	3.353	8408.8963	0.0349	B-	11563.897	9.1062	95934133.398	3.599	False	2.838991698014553
1066		20	58	38	96	Sr		-72918.248	8.466	8521.2041	0.0882	B-	5411.738	9.7257	95921719.045	9.089	False	2.7832799975258
1067		18	57	39	96	Y		-78329.986	6.075	8569.4269	0.0633	B-	7108.8741	6.074	95915909.305	6.521	False	2.8036000299107027
1068		16	56	40	96	Zr		-85438.86	0.114	8635.3283	0.0012	B-	163.9704	0.1	95908277.615	0.122	False	3.019577555819706
1069		14	55	41	96	Nb		-85602.83	0.147	8628.8868	0.0015	B-	3192.059	0.107	95908101.586	0.157	False	3.007186942097847
1070		12	54	42	96	Mo		-88794.889	0.12	8653.988	0.0013	B-	-2973.2411	5.145	95904674.77	0.128	False	3.0172290678808977
1071		10	53	43	96	Tc	-	-85821.648	5.146	8614.8673	0.0536	B-	258.7369	5.1464	95907866.675	5.524	False	2.8135984789868957
1072		8	52	44	96	Ru		-86080.385	0.17	8609.413	0.0018	B-	-6392.6529	10.0	95907588.91	0.182	False	2.999855972518419
1073		6	51	45	96	Rh	-	-79687.732	10.001	8534.6735	0.1042	B-	-3504.3127	10.8442	95914451.705	10.737	False	2.7729181369528297
