el,A,Z_+,state,ME_keV,ME_unc_keV,Ex_keV,Ex_unc_keV,Ex_origin,t_1_2,t_1_2_unit,t_1_2_unc,JP,T,ensdf,ref,yr,decay,extrapol,Z,N,mass_prec,isolde_yields,isolde_yields_log
200Fr,200,872,n,6280.0,60.0,150.0,50.0,,790,ns,360,,,,,2014,IT ?,True,87,113,3.194985420307948e-07,1.00e-1,-2.3025850929940455
201Os,201,760,,-14840.0,300.0,,,,3.0,s,>300ns,1/2-.0,,13.0,,2009,B- ?,True,76,125,1.589242344278441e-06,,
201Ir,201,770,,-19840.0,200.0,,,,21,s,5,(3/2+),,11.0,,2008,B-=100,True,77,124,1.0594740923764714e-06,,
201Pt,201,780,,-23740.0,50.0,,,,2.5,m,0.1,(5/2-),,7.0,,1962,B-=100,False,78,123,2.6486486571181507e-07,,
201Pt,201,781,m,-22890.0,160.0,850.0,150.0,,10.0,s,,13/2+.0,,,,9999,IT ?,True,78,123,8.475713866397939e-07,,
201Au,201,790,,-26401.0,3.0,,,,26.0,m,0.8,3/2+,,7.0,,1952,B-=100,False,79,122,1.5891776807705812e-08,4.00e+4,10.596634733096073
201Au,201,791,m,-25807.0,6.0,594.0,5.0,,730,us,630,11/2-,,7.0,,1981,IT=100,False,79,122,3.178365362496007e-08,4.00e+4,10.596634733096073
201Au,201,792,n,-24791.0,6.0,1610.0,5.0,,5.6,us,2.4,19/2+.0,,,,2011,IT=100,False,79,122,3.1783824686522055e-08,4.00e+4,10.596634733096073
201Hg,201,800,,-27662.5,0.7,,,,stbl,,,3/2-*,,7.0,,1925,IS=13.17 9,False,80,121,3.7080818804038945e-09,2.80e+9,21.75288525412757
201Hg,201,801,m,-26896.3,0.7,766.22,0.15,,94.0,us,2.0,13/2+,,7.0,,1961,IT=100,False,80,121,3.7080969306811764e-09,2.80e+9,21.75288525412757
201Tl,201,810,,-27181.0,14.0,,,,3.0421,d,0.0008,1/2+*,,7.0,,1950,EC=100,False,81,120,7.416233486367354e-08,,
201Tl,201,811,m,-26262.0,14.0,919.16,0.21,,2.01,ms,0.07,9/2-,,7.0,,1962,IT=100,False,81,120,7.416269590455313e-08,,
201Pb,201,820,,-25271.0,14.0,,,,9.33,h,0.03,5/2-*,,7.0,,1950,B+=100,False,82,119,7.416359334890546e-08,8.10e+6,15.907374619642667
