el,A,Z_+,state,ME_keV,ME_unc_keV,Ex_keV,Ex_unc_keV,Ex_origin,t_1_2,t_1_2_unit,t_1_2_unc,JP,T,ensdf,ref,yr,decay,extrapol,Z,N,mass_prec,isolde_yields,isolde_yields_log
204Bi,204,830,,-20646.0,9.0,,,,11.22,h,0.10,6+*,,10.0,,1947,B+=100,False,83,121,4.6976624826041145e-08,6.20e+6,15.64005985001532
204Bi,204,831,m,-19841.0,9.0,805.5,0.3,,13.0,ms,0.1,10-,,10.0,,1974,IT=100,False,83,121,4.697682221316391e-08,6.20e+6,15.64005985001532
204Bi,204,832,n,-17813.0,9.0,2833.4,1.1,,1.07,ms,0.03,17+,,10.0,,1974,IT=100,False,83,121,4.697731948894575e-08,6.20e+6,15.64005985001532
204Po,204,840,,-18341.0,10.0,,,,3.519,h,0.012,0+,,10.0,,1951,B+=99.33 3;A=0.67 3,False,84,120,5.219723017224343e-08,1.10e+7,16.213405830762646
204Po,204,841,m,-16702.0,10.0,1639.03,0.06,,158.6,ns,1.8,8+,,10.0,,1970,IT=100,False,84,120,5.219767672994608e-08,1.10e+7,16.213405830762646
204At,204,850,,-11875.0,23.0,,,,9.12,m,0.11,7+*,,10.0,,1961,B+=96.2 2;A=3.8 2,False,85,119,1.200584919530617e-07,1.50e+6,14.22097566607244
204At,204,851,m,-11288.0,23.0,587.3,0.2,,108,ms,10,10-,,10.0,,1969,IT=100,False,85,119,1.2005885982559562e-07,1.50e+6,14.22097566607244
204Rn,204,860,,-7970.0,7.0,,,,1.242,m,0.023,0+,,10.0,,1967,A=72.4 9;B+ ?,False,86,118,3.654053255486558e-08,3.20e+7,17.281246460764002
204Fr,204,870,,607.0,25.0,,,,1.75,s,0.26,3+*,,10.0,,1964,A=96 2;B+ ?,False,87,117,1.3050862629322599e-07,1.90e+6,14.457364444136669
204Fr,204,871,m,658.0,25.0,50.0,4.0,AD,2.41,s,0.19,7+*,,10.0,,1967,A=90 2;B+ ?,False,87,117,1.3050866103953837e-07,1.90e+6,14.457364444136669
204Fr,204,872,n,934.0,25.0,326.0,4.0,AD,1.65,s,0.15,10-*,,10.0,,1992,A=53 10;IT=47 10,False,87,117,1.305088490787264e-07,1.90e+6,14.457364444136669
